epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,132.101,0.78103,1.38528,0.3828,0.00081,0.12402,0.00454,0.0025,0.49742,1.69514,0.20579,3.32046e-05,3.32046e-05,0.0668286
2,252.021,0.48456,1.5857,0.18985,0.00082,0.125,0.00901,0.00582,0.31915,1.92259,0.14889,6.32443e-05,6.32443e-05,0.0335253
3,393.735,0.39849,1.68456,0.15449,0.01564,0.24546,0.01813,0.01256,0.27838,1.97792,0.12753,8.9984e-05,8.9984e-05,0.000218684
4,664.754,0.37628,1.63434,0.14425,0.0908,0.56087,0.04234,0.02812,0.27786,1.84276,0.12695,8.515e-05,8.515e-05,8.515e-05
5,870.687,0.35297,1.54342,0.1365,0.03732,0.87468,0.06529,0.04508,0.24789,1.71283,0.11135,8.02e-05,8.02e-05,8.02e-05
6,984.639,0.33661,1.40762,0.12691,0.16068,0.80168,0.06015,0.04185,0.25726,1.60411,0.11549,7.525e-05,7.525e-05,7.525e-05
7,1111.41,0.3182,1.31331,0.12022,0.05358,0.72969,0.06765,0.04977,0.2333,1.52973,0.10188,7.03e-05,7.03e-05,7.03e-05
8,1297.76,0.31476,1.23886,0.11639,0.05206,0.69716,0.07262,0.05444,0.22332,1.55788,0.09435,6.535e-05,6.535e-05,6.535e-05
9,1474.09,0.29987,1.2351,0.10956,0.069,0.60512,0.08444,0.06159,0.22175,1.43311,0.0956,6.04e-05,6.04e-05,6.04e-05
10,1612.74,0.30009,1.18864,0.10662,0.0883,0.56612,0.11593,0.08023,0.24637,1.35251,0.11177,5.545e-05,5.545e-05,5.545e-05
11,1953.58,0.2451,1.30236,0.10655,0.10171,0.67538,0.1637,0.11705,0.22009,1.28483,0.09543,5.05e-05,5.05e-05,5.05e-05
12,2297.95,0.25591,1.27718,0.11244,0.15784,0.60353,0.21066,0.1374,0.242,1.25789,0.1078,4.555e-05,4.555e-05,4.555e-05
13,2439.13,0.31206,1.24813,0.13861,0.22686,0.67009,0.18103,0.12247,0.26005,1.35271,0.12343,4.06e-05,4.06e-05,4.06e-05
14,2683.97,0.30917,1.21397,0.14453,0.21362,0.62931,0.29992,0.19203,0.33076,1.06625,0.16416,3.565e-05,3.565e-05,3.565e-05
15,2896.79,0.38219,1.28115,0.17588,0.10592,0.66519,0.13876,0.09284,0.27763,1.42486,0.12814,3.07e-05,3.07e-05,3.07e-05
16,3166.93,0.31704,1.29668,0.14882,0.11634,0.61221,0.15452,0.08252,0.32548,1.21716,0.14554,2.575e-05,2.575e-05,2.575e-05
17,3297.36,0.29813,1.1826,0.13374,0.16431,0.66257,0.22678,0.14945,0.30298,1.12837,0.14155,2.08e-05,2.08e-05,2.08e-05
18,3427.05,0.33019,1.27228,0.14755,0.11768,0.71046,0.16569,0.11053,0.28961,1.43138,0.13134,1.585e-05,1.585e-05,1.585e-05
19,3554.81,0.26505,1.37288,0.11788,0.16484,0.68106,0.1934,0.12166,0.24711,1.27679,0.11528,1.09e-05,1.09e-05,1.09e-05
20,3685.05,0.2635,1.23403,0.12054,0.159,0.72053,0.24337,0.16135,0.24043,1.21212,0.11084,5.95e-06,5.95e-06,5.95e-06
